ID,area,edge,E_A,mean_B1,mean_B2,mean_B3,mean_B4,mean_NDVI,sd_B1,sd_B2,sd_B3,sd_B4,sd_NDVI
14920,2.703438885,0.455466095,0.168476564,356.9036545,539.0730897,362.2325581,2853.428571,0.777185825,17.70218499,30.20520882,25.47140363,179.0592427,0.012739276
14937,3.601588186,0.461439968,0.128121246,368.3117207,615.3491272,387.0523691,3531.009975,0.810556995,18.22992285,41.40661548,43.11983013,236.4378457,0.012551145
14938,2.281303579,0.341589448,0.149734323,411.5866142,718.2559055,513.2125984,4050.472441,0.814773835,44.92970331,74.64192165,164.5837307,291.7341859,0.024104539
15062,2.065770956,0.419663192,0.203150882,535.4652174,842.373913,984.3521739,1144.734783,0.361796548,118.2071164,206.9073991,185.551891,256.9048285,0.029483507
15166,2.281301426,0.29365177,0.128721162,651.7440945,1143.354331,1435.633858,1546.519685,0.394899808,59.42578878,94.66951273,156.0020643,340.7683912,0.089485823
15219,2.595646102,0.803053968,0.309384999,557.5363322,811.2491349,903.6262976,1509.740484,0.449801132,86.88441932,138.0510682,182.4185096,363.7076986,0.085764764
15330,3.170483692,0.413502995,0.130422685,382.8498584,614.6090652,392.3286119,3322.441926,0.793020423,17.47652992,40.96776903,24.02436506,169.1137919,0.011617251
15402,1.643614132,0.353642776,0.215161678,816.7486339,1250.530055,1502.896175,2723.497268,0.538377962,113.5685502,184.4972317,272.2806712,247.9642804,0.050764744
15512,3.01782568,0.527711226,0.174864715,1389.458333,1916.770833,2161.142857,3131.410714,0.387170763,252.9029866,307.6337295,439.6022461,470.2424948,0.030996501
15777,2.766338222,0.299785877,0.108369206,1972.191558,2604.055195,3068.194805,4120.100649,0.352597425,213.904159,299.1597248,374.9491619,439.2896097,0.015882836
15797,4.814138138,0.653272291,0.135698701,362.0485075,596.233209,414.0783582,3156.386194,0.793361745,15.82407599,35.05743882,23.44628815,252.2950396,0.014233515
15807,3.260314025,0.599214765,0.183790506,341.3360882,556.6280992,363.5151515,2852.035813,0.785708623,20.41563947,33.62216093,29.55240063,186.0918841,0.014664815
